Table,13.1,13.1,13.1,13.1,13.1,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.5,13.5,13.5,13.5,13.5,13.5,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7
1982,9117.00,169.23,1542.88,827.30,701.00,,,,,,,,,,4545.20,1920.40,8980.70,669.90,1631.90,412.40,1547.50,10.00,19718.00,472.80,1487.60,368.70,158.40,122.20,146.80,0.20,0.20,2757.10,5018.00,3408.00,9349.40,828.30,1754.10,559.20,1547.70,10.20,22475.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1182.7,,,,,,,,,,,,,,,,,3.226507905,285,230,,,230,,54.749,22.4751,121.5,12.163,73.301,122.902,262.25,4.485,1.506,34.7,8.035,,115.444,10.872,1069.099,2551,1678.493,3586,1025,266,1875,710,481,1381,521,,,625,10425,383,43332
1983,7317.00,183.86,1345.28,703.80,654.00,,,,,,,,,,4571.00,1952.40,8782.80,650.70,1605.80,393.60,1390.00,9.80,19356.00,464.62,1534.60,371.70,161.90,123.80,148.50,0.20,0.20,2805.40,5035.62,3487.00,9154.50,812.60,1729.60,542.10,1390.20,10.00,22161.40,,,,,,,,,,,,,,,,,,,,,,,451.60,,,,,,,,,,,81.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120.2,,,,,,,,,,,,,,,,,7.550621409,363,268,,,241,,55,22.1614,124.8,11.861,76.073,122.984,265.37,4.59,1.754,33.873,7.913,,115.001,10.308,1071.885,2390,1414.196,3495,1033,315,1991,740,495,1229,536,,,653,10748,412,43428
1984,7036.00,186.19,1310.02,611.20,660.00,2583.05,1077.14,4421.61,386.35,820.99,194.57,784.15,6.49,10274.35,4775.30,2016.60,9051.00,683.70,1550.60,405.10,1483.80,10.90,19976.90,450.30,1559.10,362.20,162.70,122.90,148.50,0.20,0.20,2806.10,5225.60,3575.70,9413.20,846.40,1673.50,553.60,1484.00,11.10,22783.00,,,,,,,,,,,,,,,,,,,,,,,411.50,,,,,,,,,,,48.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078.4,,,,,,,,,,,,,,,,,14.43410261,352,273,,,226,,56.475,22.783,126.5,11.629,78.084,124.283,268.55,4.682,2.215,33.917,7.631,,113.36,9.491,1075.512,2558,1271.903,3677,990,373,2301,770,535,1323,433,,,669,10929,295,44481
1985,7403.00,187.08,1384.92,712.00,656.00,2672.00,1141.00,4554.00,409.00,835.00,203.00,806.00,7.00,10626.00,4971.70,2186.40,9303.50,752.00,1567.70,426.40,1457.30,12.40,20677.40,437.60,1533.30,358.50,162.40,122.40,143.90,0.30,0.20,2758.60,5409.30,3719.70,9662.00,914.40,1690.10,570.30,1457.60,12.60,23436.00,,,,,,,,,,,,,,,,,,,,,,,477.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317.2,,,,,,,,,,,,,,,,,30.25864733,397,305,,,212,,57.484,23.436,128.4,11.33,82.593,123.701,271.77,4.693,2.652,33.853,7.777,,109.582,9.946,1085.867,2750,1337.742,3708,1029,467,2474,795,555,1339,486,,,638,10997,342,45492
1986,7985.00,190.45,1520.73,844.90,635.00,2629.00,1186.00,4498.00,434.00,860.00,213.00,821.00,7.00,10648.00,4445.30,2013.70,8674.80,754.90,1541.20,395.30,1438.80,11.60,19275.60,422.70,1464.30,336.70,156.80,118.30,139.50,0.50,0.20,2639.00,4868.00,3478.00,9011.50,911.70,1659.50,534.80,1439.30,11.80,21914.60,,,,,,,,,,,,,,,,,,,,,,,565.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752.8,,,,,,,,,,,,,,,,,34.42623699,439,308,,,201,,57.484,21.9146,127.7,10.956,86.82,121.945,275.05,4.742,2.943,32.167,7.921,,105.378,9.961,1084.019,2870,1480.765,3840,1035,589,2914,1631,559,1200,466,,,616,11292,358,47497
1987,8112.00,195.73,1587.72,955.90,660.00,2651.00,1195.00,4436.00,445.00,890.00,209.00,798.00,7.00,10632.00,4542.60,2038.00,8503.70,794.30,1590.20,407.70,1383.10,10.60,19270.10,419.20,1435.60,321.50,153.00,114.90,134.50,1.90,0.20,2580.70,4961.80,3473.60,8825.20,947.30,1705.10,542.20,1385.00,10.80,21850.80,23.48,,,,0.07,,,,,,14.25,,,,,,,,,,,,641.40,,,,,,,,,,,,,,,,,,565.97,0.25,,0.53,222.80,0.47,,,,,,0,,,,,,,,,,995.099554,,,,,,,,,,,,,,,,,33.39575296,464,341,,,229,,56.583,21.8508,129.6,10.667,91.67,119.723,275.66,4.694,2.807,33.603,8.279,,102.118,9.778,1084.584,2700,1564.395,4730,977,793,2672,1603,565,1205,563,,,583,10884,277,48692
1988,7244.00,205.89,1491.48,797.35,684.02,2783.00,1229.00,4488.00,456.00,908.00,217.00,807.00,7.00,10895.00,4924.00,2070.80,8682.00,798.10,1590.70,425.60,1386.50,10.40,19888.20,404.60,1437.90,311.80,144.40,111.00,134.80,1.50,0.20,2546.10,5328.60,3508.70,8993.80,942.50,1701.70,560.40,1388.00,10.60,22434.30,22.29,263.90,0.11,2.86,0.17,166.55,34.19,2.72,1.17,1.19,27.15,0.03,0.00,0.00,9.10,0.00,0.28,0.01,0.33,0.25,0.00,10.30,548.14,0.00,0.00,32.27,21.93,16.73,0.00,0.00,0.00,0.00,3.02,87.04,0.00,10.65,0.00,78.93,165.97,66.76,713.94,1.01,12.81,1.54,693.49,87.89,8.03,2.10,4.973789,95.062084,0.241757,0,0,58.643974,0,1.231736,0.057787,1.614087,1.241014,0.033438,18.876078,1788.60318,0,0,22.36313,8.052465,6.004852,0,0,0,0,1.929927,45.067625,0,7.88731,0,0,14.927872,59.995497,474.7612738,341.0494174,,266.232332,245,277.7048978,56.482,22.4343,147.1,10.756,94.65,121.152,278.32,4.667,2.393,35.378,7.999,59.8,99.622,10.306,1100.908,2610,1551.056,4787,973,958,2813,1849,570,1754,562,,3490,553,10880,321,48712
1989,7941.00,211.15,1676.72,976.59,687.80,2962.00,1305.00,4754.00,469.00,882.00,221.00,795.00,7.00,11395.00,5141.70,2223.70,9194.90,833.10,1564.00,435.00,1325.50,11.90,20729.80,364.00,1422.00,294.00,136.00,109.00,134.00,1.60,0.20,2460.80,5505.70,3645.70,9488.90,969.10,1673.00,569.00,1327.10,12.10,23190.60,29.41,337.83,0.55,4.04,0.31,180.36,67.75,3.13,0.30,1.29,28.48,0.22,0.00,0.71,9.27,0.00,0.33,0.03,0.27,0.16,0.61,10.14,680.34,0.00,0.00,31.70,21.08,25.86,0.00,0.00,0.00,0.00,0.45,89.80,0.00,1.20,0.00,8.64,98.44,99.07,1027.39,2.89,18.11,2.16,799.02,168.89,9.65,1.41,6.281192,113.791669,1.070054,0,1.976145,69.578594,0,1.525622,0.132678,1.42652,0.875564,2.32902,20.86145,2368.72402,0,0,22.364775,7.610002,9.051824,0,0,0,0,0.356357,45.29489,0,0.85407,0,0,6.308392,51.603282,524.9186858,338.7423043,,320.9041795,270.67,289.9032628,56.982,23.1906,148,10.984,97.948,120.798,278.738,4.682,2.039,34.999,8.058,59.3,96.74,10.548,1101.036,2600,1572.871,4937,980,1072,3121,2070,548,2140,550,,3575,582,10633,376,49551
1990,8376.00,210.07,1759.57,1084.96,668.36,2961.00,1263.00,5011.00,470.00,786.00,224.00,788.00,6.00,11510.00,5310.30,2208.00,9575.20,856.60,1475.00,444.40,1351.50,10.90,21231.90,343.20,1423.40,280.40,133.40,108.80,139.90,1.10,0.20,2430.40,5653.50,3631.40,9855.60,990.00,1583.80,584.30,1352.60,11.10,23662.30,31.55,388.41,0.15,3.75,0.57,198.85,71.81,3.18,0.70,1.04,29.70,0.34,0.00,0.08,7.94,0.00,0.03,0.02,0.20,0.47,1.29,7.48,751.72,0.00,7.74,31.11,25.02,19.23,0.00,0.34,0.00,0.00,0.19,95.23,0.00,5.65,0.00,16.10,111.33,84.23,1113.72,1.45,17.01,3.32,946.06,191.23,10.37,2.48,4.799495,115.327897,1.29341,0,0.242552,65.890201,0,0.125306,0.153946,1.097504,3.091033,3.217294,15.976668,2597.034408,0,2.985119,23.498997,10.669469,6.89554,0,0.401999,0,0,0.158863,50.407283,0,4.353738,0,0,13.432904,63.840187,522.9526954,369.2391696,,308.2585082,266.4833333,290.7969122,56.382,23.6623,148.8,11.22,100.752,125.739,276.815,4.76,2.051,31.747,7.828,58.8,95.816,9.377,1098.269,2650,1738.197,5008,900,1256,2926,2161,549,1790,471,,3635,661,10464,349,50466
1991,8718.00,205.42,1790.87,1146.07,641.72,2915.00,1254.00,4999.00,458.00,810.00,221.00,771.00,6.00,11434.00,5359.10,2152.20,9730.40,879.30,1536.30,446.70,1332.60,10.60,21447.20,337.80,1421.90,274.80,137.10,112.80,146.00,1.70,0.20,2432.50,5696.90,3574.10,10005.20,1016.40,1649.10,592.70,1334.30,10.80,23879.70,42.60,383.09,0.31,3.57,0.64,195.92,99.47,3.78,0.47,1.66,35.07,0.14,0.00,0.02,10.81,0.00,0.40,0.04,0.56,0.40,1.59,9.85,797.87,0.00,16.17,29.83,22.80,20.44,0.00,0.00,0.00,0.00,0.00,107.41,0.00,1.50,0.00,29.59,137.01,126.44,1141.06,2.10,16.58,4.56,938.48,256.60,11.38,1.66,7.378302,133.729817,0.69722,0,0.103102,79.361189,0.000613,1.616969,0.235417,1.620454,2.061039,3.954968,20.765626,2777.196245,0,5.762937,21.751302,9.180676,9.948709,0,0,0,0,0,54.930567,0,1.540487,0,0,20.96598,75.896547,571.6195702,346.5685333,,437.5325344,265.5916667,292.3361518,55.78,23.8797,150,11.289,102.884,102.33,278.15,4.873,2.126,29.847,8.034,57.043,96.393,9.431,1074.066,2650,1748.802,5481,866,1535,3224,1459,574,1580,524,,3350,700,10534,315,50334
1992,8479.00,215.33,1825.81,1200.88,622.25,3063.00,1237.00,4964.00,544.00,880.00,230.00,809.00,7.00,11733.00,5440.00,2225.90,9593.20,961.90,1532.00,445.20,1345.20,12.00,21555.40,341.10,1462.90,279.80,142.30,116.20,159.50,2.00,0.20,2504.10,5781.10,3688.80,9873.00,1104.20,1648.20,604.70,1347.20,12.20,24059.50,91.68,306.04,0.48,5.14,1.29,258.96,74.31,4.53,3.29,2.85,34.22,0.60,0.00,0.00,9.20,0.02,0.39,0.00,0.56,0.59,3.42,9.91,828.29,0.00,30.29,16.56,26.51,65.76,0.00,0.00,0.00,0.00,0.00,148.55,0.10,2.44,0.00,18.45,167.01,226.86,947.51,2.51,24.88,7.82,1249.54,184.49,13.87,7.29,11.751812,135.563915,2.188966,0,0.004892,73.806938,0.0242,1.467829,0.033721,1.273351,2.051613,8.747052,19.859432,2988.015566,0,14.780292,10.87764,10.64011,28.863808,0,0,0,0,0,69.847536,0.235732,1.144505,0,0,11.116233,80.963769,568.012013,336.2329403,,344.1852107,247.6833333,293.7903142,55.229,24.0595,150.1,11.869,104.592,115.205,288.056,4.98,2.269,31.822,8.1,54.677,97.556,9.508,1095.866,2520,1833.841,5725,898,1803,3190,1381,592,1660,518,,3632,745,10613,365,50104
1993,8283.00,220.31,1824.80,1186.15,639.29,3243.00,1325.00,4884.00,576.00,951.00,245.00,846.00,7.00,12076.00,6127.10,2604.00,9656.10,1055.60,1682.50,507.30,1434.20,13.10,23080.00,363.90,1584.70,286.40,146.60,123.00,171.60,1.20,0.20,2677.60,6491.00,4188.70,9942.50,1202.20,1805.50,678.90,1435.40,13.30,25757.60,62.06,294.07,1.33,3.04,3.93,305.10,57.42,4.97,8.10,3.27,32.37,0.81,0.02,0.24,6.39,0.00,0.44,0.00,0.38,0.26,3.92,10.30,812.21,0.00,81.78,12.60,24.79,98.76,0.00,0.10,0.00,0.00,0.00,234.75,0.00,1.33,0.00,15.71,250.46,143.50,1005.42,3.30,17.63,14.72,1591.06,157.62,14.14,17.86,13.997301,121.266068,3.003971,0.15182,0.369609,48.493461,0,1.675213,0.003036,1.331445,1.245723,11.66559,16.994527,3228.407192,0,42.804767,8.538722,11.068267,41.678756,0,0.195017,0,0,0,115.020881,0,0.4064,0,0,9.501746,124.522627,585.5055334,320.5158626,,418.2565878,265.2416665,346.3904812,55.577,25.7576,149,11.86,107.84,22.346,290.392,5.024,2.527,31.158,8.31,52.226,99.176,10.093,998.084,2550,1813.931,5650,860,2337,1390,945,593,1710,575,,2820,691,10584,309,47427
1994,8269.00,218.09,1803.42,1148.26,653.70,2910.00,1229.00,4522.00,529.00,946.00,224.00,847.00,7.00,11213.00,5866.80,2659.20,9689.10,1063.70,1773.10,507.40,1419.40,12.50,22991.10,369.60,1620.60,284.50,152.40,126.00,185.30,1.50,0.30,2740.10,6236.40,4279.80,9973.60,1216.10,1899.10,692.70,1420.90,12.80,25731.20,37.15,254.32,1.66,3.36,7.51,320.04,67.97,5.78,10.30,5.25,34.21,0.81,0.03,0.32,10.88,0.00,0.38,0.01,0.23,0.16,3.56,11.18,786.12,0.00,181.03,12.13,34.89,144.19,0.00,0.50,0.00,0.00,0.00,385.75,0.00,0.37,0.00,16.37,402.12,100.21,640.07,3.91,17.06,24.29,1572.73,184.29,15.31,21.36,19.543099,129.300347,2.943818,0.309581,0.533801,62.862447,0,1.444161,0.034543,0.75188,0.891456,8.360557,18.604518,2853.125951,0,104.198182,7.835009,18.414386,61.746766,0,0.578842,0,0,0,201.947769,0,0.664589,0,0,13.575053,215.522822,575.4349788,308.7535193,,344.52674,225.0231582,285.7307882,54.875,25.7312,149.1,12.025,113.157,17.241,291.973,4.99,2.814,30.341,8.89,48.914,100.974,10.477,993.533,2600,1845.233,5730,899,3270,1282,1025,602,1810,566,,2720,581,11194,368,48177
1995,7936.00,219.85,1744.70,1114.29,626.60,2963.00,1287.00,4775.00,534.00,934.00,233.00,848.00,7.00,11667.00,6019.10,2714.10,9928.30,1069.00,1802.80,521.00,1501.60,13.40,23569.30,371.20,1681.80,286.10,149.70,120.90,196.60,1.50,0.20,2808.00,6390.30,4395.90,10214.40,1218.70,1923.70,717.60,1503.10,13.60,26377.30,29.53,185.54,2.25,5.51,13.03,328.33,58.47,6.72,20.48,5.01,28.52,0.89,0.04,4.61,36.53,0.05,0.61,0.05,1.87,1.03,3.88,11.10,760.41,0.00,306.15,10.20,39.96,188.48,0.00,0.00,0.00,0.47,0.00,615.87,0.11,10.30,0.00,33.84,649.72,67.13,397.72,4.65,21.69,35.36,1410.74,148.70,16.29,38.21,16.528083,90.37967,3.17109,0.413119,9.412091,121.743609,0.185191,1.954333,0.257554,4.920257,3.867251,8.010929,17.771511,2457.008974,0,183.773315,6.544475,20.277074,92.495402,0,0,0,0.219367,0,343.698649,2.17,6.940891,0,0,24.689344,368.387993,580.9591224,269.3846702,,293.8485457,184.0837492,233.0767502,54.207,26.3773,149.315,12.709,123.317,99.191,293.922,4.916,2.945,30.151,9.272,43.297,102.785,10.512,1080.9,2600,1719.457,6080,928,4154,1235,1100,601,1850,630,,2295,542,11585,344,49020
1996,8411.00,215.23,1810.30,1093.55,714.03,3039.00,1286.00,4957.69,528.00,928.00,242.00,891.52,7.00,11879.16,6118.10,2627.00,10123.00,1023.90,1786.80,514.60,1530.20,13.10,23736.50,392.50,1783.60,292.00,157.20,121.90,210.60,0.00,0.30,2958.10,6510.60,4410.60,10415.00,1181.10,1908.70,725.20,1530.20,13.40,26694.60,35.47,214.87,2.01,4.14,23.99,288.62,57.73,7.42,22.11,6.09,28.69,0.89,0.10,5.52,16.72,0.09,0.83,0.32,1.35,1.20,3.02,4.31,745.64,0.00,463.56,17.67,54.30,236.10,0.00,0.00,0.00,0.49,0.00,863.76,0.00,1.82,0.00,31.53,895.28,74.90,439.41,3.58,15.26,56.58,1078.44,127.36,17.48,39.94,18.080979,81.979315,2.683997,0.769673,10.874898,75.605275,0.241352,2.230871,1.370461,3.503708,5.154983,5.690002,7.368959,2112.439159,0,236.082386,12.233868,25.046379,108.162828,0,0,0,0.259864,0,427.721412,0,1.023716,0,0,17.33716,445.058572,474.1632571,230.1090447,332.0041473,273.6230817,165.3433417,198.8532655,53.569,26.6946,149.228,13.402,104,98.244,291.712,4.828,3.147,29.637,9.017,39.696,103.548,10.451,1051.841,2580,1733.829,6150,1017,3557,1141,900,555,1800,639,717,2210,525,11749,410,50087
1997,9320.00,209.79,1955.25,1250.83,696.65,2863.00,1119.00,5145.40,540.00,964.00,232.00,915.00,5.00,11783.37,5921.70,2305.60,10562.30,1051.40,1848.40,510.40,1566.40,9.60,23775.70,429.40,1836.10,304.90,162.40,124.10,217.70,0.80,0.00,3075.70,6351.10,4141.70,10867.20,1213.80,1972.50,728.10,1567.20,9.60,26851.40,33.65,245.08,2.77,5.83,11.41,326.00,44.51,7.07,24.46,7.06,33.25,1.18,0.06,29.42,34.26,0.32,1.21,0.39,2.62,1.33,1.76,3.44,850.22,0.00,157.06,20.37,50.90,236.13,0.00,0.00,0.00,1.53,1.10,694.01,1.62,2.55,0.00,28.78,722.80,86.37,612.46,6.42,22.24,29.48,1328.02,111.03,18.37,49.23,22.833317,111.073993,3.549736,0.673312,68.825366,120.442356,0.79776,3.008868,1.810264,7.357901,4.088562,3.942423,5.980338,2700.486106,0,74.172216,15.136673,20.248705,101.131506,0,0,0,1.272799,0.495,334.057633,1.4455,1.460448,0,0,18.290014,352.347647,487.3138838,236.8330583,328.2348993,270.643916,175.6687632,225.2670441,51.696,26.8514,146.11,13.412,110.318,97.473,291.402,4.75,3.396,28.601,9.18,35.103,101.656,10.651,1044.419,2975,1939.101,6050,1089,4409,1149,1100,530,1795,651,827,2010,591,11714,468,51696
1998,9099.00,220.96,2010.53,1326.43,674.76,2859.00,1054.00,5071.00,514.00,948.00,224.00,946.00,5.00,11621.00,5845.60,2179.80,10443.60,1005.60,1816.70,491.40,1565.90,9.40,23358.10,445.00,1945.20,304.00,177.20,114.10,232.90,1.10,0.00,3219.80,6290.60,4125.00,10747.60,1182.80,1930.80,724.30,1567.00,9.40,26577.90,45.00,295.82,2.94,5.69,6.32,318.32,76.73,7.47,22.75,6.07,37.26,1.05,0.06,14.24,22.59,0.43,0.87,0.40,1.72,1.29,2.20,3.19,905.35,0.00,94.59,14.40,52.40,260.92,0.00,0.00,0.96,12.18,0.00,713.05,0.00,0.03,0.00,16.85,729.90,124.24,762.03,6.56,24.28,18.50,1327.42,199.61,19.63,42.59,21.766522,120.499666,3.890693,0.634739,31.558234,108.057963,1.232275,2.347305,2.120434,5.223261,5.335458,5.782877,5.60976,2934.734416,0,39.440867,9.2356,22.709602,117.125851,0,0,0.57,6.625428,0,342.667339,0,0.079207,0,0,8.30724,350.974579,524.0213135,254.1453374,424.7163441,279.2932304,163.25002,257.2813339,49.238,26.5779,144.67,13.36,121.822,95.94,288.799,4.708,3.28,29.051,8.9,31.52,99.744,10.553,1038.476,2600,1986.802,6140,1182,4799,890,1350,530,1800,605,846,1890,539,11804,454,51767
1999,8644.00,229.97,1987.90,1284.17,696.18,2801.00,1134.00,5667.00,480.00,1086.00,194.00,913.00,6.00,12282.00,5530.70,2370.60,11502.60,994.70,2058.90,410.60,1570.20,9.80,24448.00,439.50,1893.20,305.10,189.10,105.70,206.00,0.00,0.00,3140.00,5970.20,4263.80,11807.70,1183.80,2164.60,616.60,1570.20,9.80,27588.00,34.39,317.93,2.40,4.24,15.35,326.93,72.69,7.30,17.90,5.57,29.53,0.83,0.13,0.64,10.76,0.21,0.58,0.37,0.92,0.64,2.03,3.12,871.29,0.00,231.22,12.69,54.73,245.20,0.00,0.00,0.00,9.14,0.00,845.67,0.00,0.01,0.00,8.14,853.81,113.75,974.57,6.48,21.98,46.33,1476.92,200.79,19.63,38.63,23.505286,114.021732,4.196148,0.88214,1.476285,69.936668,0.985669,1.967485,2.414194,3.485011,2.817735,7.588848,5.776101,3188.650763,0,106.948237,8.570386,25.045341,122.072644,0,0,0,4.553495,0,432.644874,0,0.05,0,0,6.994085,439.638959,540.6665393,271.2670062,429.22231,284.9391989,179.4517431,266.7361883,49.437,27.588,143.893,13.211,124.419,95.368,286.569,4.656,2.922,25.425,8.96,28.481,99.115,10.402,1028.55,2840,1990.716,6270,1264,5054,8803,1450,537,1900,570,867,1740,584,12124,425,52825
2000,8981.00,235.99,2119.43,1460.97,648.63,2849.00,1138.00,5304.00,516.00,1013.00,201.00,981.00,6.00,12007.00,5786.10,2434.70,11087.60,1050.30,2001.40,426.50,1706.90,11.00,24504.40,428.40,1970.80,288.30,191.60,126.40,209.80,0.00,0.00,3217.30,6214.50,4405.50,11375.90,1241.90,2127.80,636.30,1706.90,11.00,27721.70,46.53,397.59,2.36,5.02,12.73,334.05,66.01,8.75,20.32,4.62,33.03,0.86,0.12,9.45,9.21,0.59,1.12,0.42,3.06,2.02,4.32,3.05,987.98,0.37,284.81,14.42,69.71,156.79,0.00,0.00,0.90,16.64,4.86,845.81,0.29,0.02,0.00,15.32,861.13,177.83,1482.31,7.11,26.27,41.70,1704.62,208.29,23.94,49.86,24.349518,142.705826,4.601299,0.779863,26.706224,62.684293,2.080846,3.940056,2.458906,12.57305,10.992863,14.944334,6.251939,4127.023931,0.651753,146.021795,9.47807,32.397489,86.763425,0,0,0.85,8.83216,3.32727,481.826884,1.514456,0.11,0,0,15.857011,497.683895,570.5714169,312.5323317,471.2255666,314.399666,183.823829,317.4647462,50.332,27.7217,146.272,13.201,126.983,95,285.22,4.588,2.487,25.22,9.07,28.06,98.199,10.557,1028.924,2880,2053.489,6520,1263,5131,8325,1525,530,1900,581,886,1595,625,12298,440,53001
2001,8589.00,236.07,2027.61,1382.01,638.25,2852.00,1158.00,5762.00,594.00,1013.00,199.00,1069.00,6.00,12652.00,5592.60,2463.00,11283.80,1201.30,1979.80,431.80,1776.70,9.80,24738.70,428.20,1949.50,260.20,179.60,123.80,187.10,0.00,0.00,3131.30,6020.80,4412.50,11544.00,1380.90,2103.60,618.90,1776.70,9.80,27870.00,63.80,407.73,2.61,4.72,15.09,247.34,75.90,9.66,16.12,3.60,28.81,0.99,0.12,4.35,7.07,0.65,1.23,0.49,4.64,2.09,4.64,3.56,932.71,1.61,326.02,16.71,77.38,96.96,0.00,0.00,1.81,48.46,33.52,796.98,2.75,1.79,0.00,23.75,820.73,262.48,1787.49,8.64,27.40,57.15,1359.48,326.01,27.51,51.79,21.764261,133.147646,4.792399,1.15562,8.565822,55.804407,2.572235,6.023448,3.19537,23.073966,12.941168,20.610468,9.084475,4332.548517,4.041805,206.115974,13.396082,40.478373,61.263617,0,0,1.901358,24.318945,22.753726,525.535343,5.997533,2.024178,0,0,35.790287,561.32563,652.8221674,373.2267225,604.5374225,388.5942501,207.9342507,392.8449627,51.167,27.87,150.382,13.608,123.532,94.655,284.822,4.53,2.134,25.328,9.4,27.52,97.298,10.423,1020.078,2640,2078.901,6895,1262,5086,8120,1650,458,1925,577,903,1580,524,11983,317,52210
2002,9230.00,224.58,2072.83,1387.60,675.80,2809.00,1240.00,5380.00,590.00,981.00,219.00,1023.00,5.00,12245.00,5419.40,2491.40,10507.40,1209.30,1815.20,481.90,1682.60,7.80,23615.10,397.60,1896.10,232.50,191.40,130.00,199.60,0.00,0.00,3049.00,5817.00,4387.50,10739.90,1400.70,1945.20,681.50,1682.60,7.80,26664.10,69.26,354.97,3.69,2.94,22.42,278.74,87.25,10.33,13.39,4.63,34.79,0.86,0.24,3.92,9.02,0.33,2.34,0.48,2.76,1.82,10.27,4.86,937.56,5.51,486.32,18.47,95.52,108.19,0.00,0.00,2.85,34.40,52.41,976.56,16.76,5.28,3.71,31.33,1007.89,250.84,1343.55,10.01,19.01,67.27,1400.64,346.23,27.63,33.72,24.404718,147.973545,5.307364,1.66559,8.41979,60.002338,1.397396,9.216642,2.53927,13.692023,11.768899,39.640726,11.040425,3906.688765,7.326675,278.131936,15.086735,44.082681,56.918414,0,0,2.481321,17.261438,30.711437,569.288021,24.380741,3.019248,0,3.821636,38.208306,607.496327,644.1083806,341.0572695,630.8974365,387.8874095,206.3137371,381.6364367,52.369,26.6641,156.314,13.752,118.092,94.235,284.574,4.563,1.954,25.349,9.656,27.39,96.723,11.667,1022.868,2700,2089.743,7240,1298,5219,8310,1810,537,1725,588,925,1650,573,12427,425,53891
2003,8778.00,231.60,2032.94,1319.11,697.41,2873.00,1185.00,5638.00,568.00,1049.00,233.00,1019.00,5.00,12570.00,5416.00,2390.20,11244.80,1164.30,1962.20,495.50,1729.70,7.60,24410.20,399.60,1890.50,254.90,188.10,132.90,188.60,0.00,0.00,3054.60,5815.60,4280.70,11499.70,1352.40,2095.10,684.10,1729.70,7.60,27464.80,9.01,365.08,3.27,2.38,11.83,332.84,81.44,8.12,7.46,2.62,30.32,0.90,0.21,1.34,7.09,0.72,3.67,0.41,2.20,1.36,3.81,3.21,890.09,5.10,337.64,18.43,66.54,53.55,0.00,0.00,0.80,35.99,0.00,581.45,58.14,11.92,0.76,100.48,681.93,42.45,1332.96,12.65,21.41,36.99,1756.40,354.49,19.36,18.94,19.859039,127.970225,6.968312,1.921018,4.839283,61.361773,3.54006,15.360182,2.93058,9.02724,11.779684,16.1609,6.571708,3926.490223,6.611803,177.942978,14.991388,30.62599,29.486612,0,0,1.324495,18.366763,0,317.850418,111.0952,8.820448,0,0.79681,143.390653,461.241071,650.0515905,315.4770701,734.6706045,347.8736516,213.0754773,316.8615143,53.069,27.4648,161.463,13.466,115.678,92.78,284.329,4.524,1.954,26.011,9.76,26.846,96.1,12.257,1018.559,2800,1997.563,7385,1204,5425,8287,1960,496,1950,681,953,1680,610,12039,450,54200
